step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam228, 68.33541927409262, 12.157697121401752, 0.31924681791958043, 1.3271109769589704, 2.69238
foam229, 68.42105263157895, 12.155388471177945, 0.3213607619234691, 1.3294715768814345, 2.69704
foam230, 67.1267252195734, 12.12797992471769, 0.3233928531933714, 1.3304015326226106, 2.70133
foam231, 63.85390428211587, 12.093198992443325, 0.32647851570031095, 1.3318266246862582, 2.70837
foam232, 63.476070528967256, 12.07808564231738, 0.32671583917266367, 1.3321442036590965, 2.70837
foam233, 61.820480404551205, 12.048040455120102, 0.3290257934909002, 1.3325393278805597, 2.7134
foam234, 61.518987341772146, 12.048101265822785, 0.3293857522806327, 1.334601078117319, 2.71487
foam235, 61.34347275031685, 12.048162230671736, 0.3296417845235031, 1.3359284335421417, 2.71593
foam236, 63.54300385109114, 12.087291399229782, 0.32932323787062434, 1.3533042629510552, 2.72542
foam237, 64.0926640926641, 12.097812097812097, 0.3313690409465839, 1.3571506794470778, 2.73119
foam238, 64.17525773195877, 12.100515463917526, 0.3309419463248424, 1.3589080509652924, 2.73147
foam239, 65.07115135834411, 12.113842173350582, 0.33198902754261317, 1.3648430998414562, 2.73669
foam240, 64.89637305699482, 12.11658031088083, 0.33200235645588294, 1.3667271196652968, 2.7378
foam241, 61.89856957087127, 12.052015604681404, 0.3350985913192399, 1.3712435141876984, 2.74497
foam242, 60.286458333333336, 12.028645833333334, 0.33498837863769126, 1.3724090345380413, 2.74527
foam243, 60.86387434554974, 12.036649214659686, 0.3365628469598092, 1.3798819523858243, 2.75239
foam244, 61.74142480211082, 12.04221635883905, 0.33749530221921886, 1.3911358156152986, 2.7603
foam245, 61.24338624338625, 12.026455026455027, 0.3394868247872673, 1.3945458382103713, 2.76427
foam246, 61.01468624833111, 12.032042723631509, 0.34018716163123464, 1.4072952092689708, 2.77309
foam247, 58.82352941176471, 12.008021390374331, 0.34022268909639597, 1.4066963557385155, 2.77351
